Designator,Mid X,Mid Y,Rotation,Layer
D1,112.46,-81.27,90.0,bottom
D10,165.01,-60.81,0.0,top
D11,150.01,-60.81,0.0,top
D12,135.01,-60.81,0.0,top
D2,132.46,-81.27,90.0,bottom
D3,152.46,-81.19,90.0,bottom
D4,112.46,-101.27,90.0,bottom
D5,132.46,-101.27,90.0,bottom
D6,152.46,-101.27,90.0,bottom
D7,112.46,-121.27,90.0,bottom
D8,132.46,-121.27,90.0,bottom
D9,152.46,-121.27,90.0,bottom
J1,191.19,-87.46,270.0,top
S1,122.3,-77.99,0.0,top
S2,142.38,-77.99,0.0,top
S3,162.38,-77.99,0.0,top
S4,122.46,-97.99,0.0,top
S5,142.46,-97.99,0.0,top
S6,162.46,-97.99,0.0,top
S7,122.46,-117.99,0.0,top
S8,142.46,-117.99,0.0,top
S9,162.46,-117.99,0.0,top
U1,192.46,-67.46,0.0,top
